source_name
主髂动脉闭塞症的诊断和治疗：中国专家共识_沈晨阳
布-加综合征亚型分型的专家共识
血管瘤与脉管畸形诊疗指南(2024版)
急性主动脉夹层急诊护理实践专家共识
遗传性胸主动脉瘤_夹层基因检测及临床诊疗专家共识_杨航
颈动脉狭窄诊治指南_陈忠
妊娠合并胸主动脉疾病诊断与治疗专家共识（2026）
介入相关主动脉损伤的预防与处理策略专家共识
急性主动脉综合征非外科强化治疗中国专家共识
主动脉计算机断层扫描血管成像检查技术中国专家共识_国家心血管系统疾病医疗质量控制中心心血管影像工作组_
急性主动脉综合征计算机断层扫描血管成像诊断报告书写规范中国专家共识
中国儿童心血管植入性电子器械围术期护理专家共识
中国经导管左心耳封堵术临床路径专家共识（2025版）
心血管介入碘对比剂使用管理护理专家共识_武杰
简化式左心耳封堵术临床路径中国专家共识（2022）
经动脉心血管介入诊治中含碘对比剂相关不良反应防治的中国专家共识（2021）
经皮机械循环辅助在复杂心血管疾病介入治疗应用中国专家共识
非心脏外科手术围手术期心血管疾病管理中国专家共识
左心室辅助装置植入全程管理专家共识(2023年)
心血管植入型电子器械术后随访的专家共识（2020）
中国成人心搏骤停后综合征器械支持治疗临床实践指南
心血管植入型电子器械植入术技师操作规范专家共识
心血管植入型电子器械植入术护理专家共识_朱雪清
植入式左心室辅助装置患者紧急情况处理中国专家共识（2026版）_刘鼎乾
先天性心脏病患儿围生期护理管理专家共识
卵圆孔未闭右心声学造影中国专家共识_王浩
卵圆孔未闭规范化诊疗中国专家共识
成人先天性心脏病相关肺动脉高压诊断与治疗指南
儿童及青少年先天性心脏病康复中国专家共识
儿童常见先天性心脏病介入治疗指南（2025）
卵圆孔未闭相关卒中预防中国专家指南_张玉顺
中国动脉导管未闭介入治疗指南2017_于波
常见先天性心脏病经皮介入治疗指南（2021版）
极低或超低出生体重儿经导管动脉导管未闭封堵术专家共识（2025）
中国冠状动脉血流储备分数测定技术临床路径专家共识
体外心脏震波治疗冠心病中国专家共识(2022版)
体外心脏震波治疗冠心病中国专家共识(2022版)_刘兵
军事飞行人员冠状动脉疾病特许飞行指南(2021)_王建昌
冠心病双联抗血小板治疗中国专家共识
冠心病合并颈动脉狭窄的处理策略专家共识_蒋雄京
冠心病合理用药指南(第2版)
冠心病抗栓诊治中国临床循证及指南共识
冠状动脉内斑块旋磨术护理中国专家共识
冠状动脉功能学临床应用专家共识
冠状动脉心肌桥诊断与治疗的专家共识_宋雷
冠状动脉慢性闭塞病变逆向技术操作规范（2026年）
冠状动脉扩张症诊断与治疗专家共识
冠状动脉支架脱载的处理和预防专家共识
冠状动脉球囊成形术与支架植入术操作规范（2022年版）
冠状动脉生物可吸收支架临床应用中国专家共识
冠状动脉腔内影像学指导药物涂层球囊临床应用专家共识
冠状动脉血栓抽吸临床应用专家共识
冠状动脉钙化病变诊治中国专家共识（2021版）_王伟民
应用β肾上腺素能受体阻滞剂规范治疗冠心病的中国专家共识
心磁图心肌缺血临床诊断专家共识
急性主动脉夹层合并冠心病的诊断与治疗策略中国专家共识
慢性冠状动脉综合征增强型体外反搏治疗中国专家共识_弭守玲
稳定性冠心病口服抗血小板药物治疗中国专家共识 (1)
稳定性冠心病诊断与治疗指南 (1)
经皮冠状动脉腔内冲击波球囊导管成形术临床应用中国专家建议
缺血伴非阻塞性冠状动脉疾病诊断及管理中国专家共识
血管紧张素Ⅱ受体拮抗剂在冠心病患者中的临床应用建议(2018)_李建平
血管紧张素转换酶抑制剂在冠心病患者中应用中国专家共识_陈纪言
冠状动脉微血管疾病诊断和治疗中国专家共识（2023版）
心磁图诊断冠状动脉微血管疾病临床应用专家共识(2025版)
心磁图诊断冠状动脉微血管疾病临床应用专家共识（2025版）_马健
冠状动脉痉挛综合征诊断与治疗中国专家共识_向定成
中国慢性冠脉综合征患者诊断及管理指南 (1)
冠状动脉CT血管成像在慢性冠脉综合征的风险分层和诊疗中应用的专家共识
慢性冠脉综合征无创性影像诊断中国专家共识
注射用血栓通(冻干)治疗不稳定型心绞痛临床应用专家共识_龙文杰
稳定型心绞痛运动康复中国专家共识
儿童冠状动脉经胸超声心动图规范化检查中国专家共识（2025版）
冠心病心脏康复基层合理用药指南
稳定性冠心病合并心理问题基层诊疗共识（2023年） (2)
稳定性冠心病基层合理用药指南
女性冠状动脉性心脏病诊治的中国专家共识
75岁及以上稳定性冠心病患者运动康复中国专家共识 (2)
